uuid,id
E0ABF328-E675-4172-BA05-D5B51DAB44A6,NCE
AEB71EC4-4F37-42BA-97B8-CA8671C86944,CBR
9CAD18C8-064A-4B7C-A00F-D8F5B2F208F6,AEP
8955F6E7-5FE7-4011-90C5-87006235E435,LBG
6398C28E-6E93-443A-8E6A-48346B6932D2,BMA
3558D98F-F474-4E9E-BD51-A2F9092EDB12,AOC
E263EAE5-4A3B-4B52-BBE9-7F8CDA850B38,LUX
63449E80-56EB-4A8A-9F79-49AF485DFB84,POX
F954147B-8BFB-45DA-9F3A-46FB25137716,ORE
F1C45A68-7511-4253-8753-61439321EFE2,FRA
E227B53A-9DF9-475D-96AE-EB9EBADEBDF2,FEL
D6C20D17-7020-41C9-B842-4DFE77578787,LKE
D549FACF-9C43-450B-A922-475C4C4B0C35,LIL
320002E2-C930-4BA0-A8C0-0BC5E7E4CF9F,RKE
CF15BDCF-202D-46FB-BA86-C7091D027FE9,""
7E19498D-7F8C-4012-A4F6-05264AA08106,OSL
957372C6-8E8B-437C-9152-BC2C1F168B80,AGP
F7BD4C0A-92A5-43AE-926C-94388D00F046,NAP
848D8A1C-4D22-4F0B-9B34-DDC6FB1BD99A,LED
D8FB1A0F-7A55-496E-BAD3-82706BF3EEA4,TAR
266FEBD1-B404-45CB-80B6-99A452808AFD,NAP
8AE5A7F6-6286-4A2F-9483-E618C638547E,SVO
2C1F004A-5022-42BC-840B-0CE66FB3BAF3,OSL
0E5939D9-65C7-48EF-B021-CAA961E24851,OSL
36040C98-3AFF-4A9C-A63A-58724608B963,ANR
7757D1BE-3823-47AD-8BBF-13EF8D3F8A55,BGO
4F7FE953-18C8-4172-A4B8-0AD9529CDC3A,MAD
A1007C7C-8B3A-4364-A1EA-541D327D015A,BMA
626123C7-DC79-430A-AAA8-835C1987448B,LYN
74DB5456-39B3-4413-B0DA-5699CED2ADCE,VIY
331B0513-E6D1-4AD7-933B-DA29FFF5032F,HRK
D5D4FC2F-9933-4C78-9DD4-88C2FBB44B54,LBG
D4F3ED77-2140-42DD-837E-A161615E5E15,HAU
6DE11011-8E7F-4843-B973-618C055792C1,SIR
B6E26780-F3B5-4732-93F3-0B0B509A32B2,AMS
3449F81C-3571-4233-8327-82E5D458166F,QVA
49A66F98-C445-44DC-A64A-3BD9B4633D84,MAD
A30C6770-B218-4CE7-8D27-7B655BAB22F9,""
53D076EF-BBC4-4A82-B15E-55DE98F6BB99,PAD
D631B771-FDE9-4DE5-B97A-FA1023F55BF5,EVX
24C8BF3F-C83B-44C2-AB97-55E9588C183F,BEY
E8627D77-296E-4A80-A4F6-F2A3543073E5,HLP
C44688AF-EEE4-49F7-8B9A-26C5646E4F3E,LBG
777B148C-204F-412A-AF9E-0E6B69B2323D,LIS
E46D7B41-3B85-40A4-AE6B-04A2FC9E701F,AAL
FA8E60AC-46F6-4DCF-9710-70AF85DE52C8,VLC
1F071F36-D42D-45E9-A66C-178174B8B1DA,""
ACE30195-356D-4115-B33F-E1B2B8D761EA,OSL
9F994EBA-036D-4E5D-9682-4B0BE1B9EF28,MST
E7818F33-0770-4D22-A8EE-BD0EE3DF3DC3,BCN
54883253-7AC2-4256-A019-7B81F0DD2977,KJA
81C6EEE4-3ACD-4BE8-A668-9CA9E59282E8,POW
6639556E-0553-48CC-B0F0-63BCE9BAAEFC,LIS
AEE4341B-450C-4F29-A3FB-A6C8D68B33E1,LCY
50650A7F-0F5F-4D46-B995-F180F250C849,IAD
9AFD9425-153B-4326-BDD6-1C253B5C211D,AAE
319A4674-A812-41C2-A09D-A2CFFB32581B,BRU
92149CEE-3003-47EE-AC19-740EE80B4BAF,LYN
61C008D9-23E5-4289-A9C1-5639A04156DE,SVO
CD772C19-F3D5-4E5C-A9A8-8D730AC2B751,CFR
9987F6E4-4876-43F9-BAD6-078A3B9E5FBF,HOQ
112C497A-882D-454A-A6CD-D51DF1AA9B96,AMS
B74B9E50-D023-4416-AF6C-F08ADA56DBD6,DUS
B0DB8315-412B-4240-A01E-BD4453ECBF02,OPO
47AEFB64-2BD3-4C65-9459-37D5C10D306B,VNE
442E67AD-5AEA-47FC-B3BD-30D2BE846F2A,CPH
11337796-4AE5-46D8-A0C0-C88A3814E805,VIY
5192D129-91F1-4FD0-B694-186034F8B3C3,STR
79D5900F-822B-4E9D-ADC0-8B264E845E6F,PLU
6C6A7283-A0B7-4E25-849F-1E40A89F4A8E,CGH
7AD4EC07-F8EB-481D-9385-6BF577761A6A,CGH
DA1413F5-2508-41BF-B600-733B78E3E120,""
7AF1D001-B561-419A-87A4-A5A77E9F4F23,CAG
2A93B572-9716-4435-95F0-32335555B63E,LBG
97CA5953-752A-4B77-8692-5F5B50B044F1,ZOS
BB48ED2A-0BE7-48EB-95DA-13651152B150,QNJ
40D09944-93FF-4143-B31B-EA5F0085CAA5,""
4CD18F8C-4E45-4C72-BDC6-1C61FFD9A723,LUG
5146A451-F5DA-4295-A1D8-B1C3B82FAA04,OPO
49D3F540-9002-4881-8E6F-D237A17C4615,""
B09B3A0E-3FE8-438D-9895-2A982FE1E395,SVG
57019DDC-0C03-438B-89E5-24B6718CD603,FKB
A32D610B-4D01-442D-BEB9-6697F953C1CA,OSL
BD21A76D-08CB-43D6-B9A0-7B32139ACCE1,ARB
3A0FFFE4-905D-4F47-BCCA-659D27D567BF,ITM
1425A073-42B3-4610-88E1-4F593CF03664,BMA
C6E9CC88-2D95-4153-A646-53D2D344C8EA,TFN
6543D19D-65EA-4402-8FB7-A70F34BD10D1,KSU
15251557-BE6C-4AE0-BF86-A34FA72E9C42,BRU
3B95AF97-456B-44D6-ADD6-83B4F18D5EEB,LIN
287BAAF5-A460-40EC-AEBF-7CB8EFE68C7E,RAK
6EB2682A-07E0-435C-8634-ED14B979C907,LEY
771E5293-2999-4D36-8D84-E07110A4ACFF,""
9CEB3DF4-EC2F-4888-890F-1085252FCCA5,STR
F74D0ACF-1D2B-4644-8772-A6410A175D08,LCY
4E60FB23-4014-4E19-993B-14D078BC08A7,MBW
12FF25B1-3BF8-4357-9583-C02CFD9BC0F7,ODE
